"email","username"
"firstName1@email.com","username1"
"firstName2@email.com","username2"
"firstName3@email.com","username3"
"firstName4@email.com","username4"
"firstName5@email.com","username5"
"firstName6@email.com","username6"
"firstName7@email.com","username7"
"firstName8@email.com","username8"
"firstName9@email.com","username9"
"firstName10@email.com","username10"
"firstName11@email.com","username11"
"firstName12@email.com","username12"
"firstName13@email.com","username13"
"firstName14@email.com","username14"
"firstName15@email.com","username15"
"firstName16@email.com","username16"
"firstName17@email.com","username17"
"firstName18@email.com","username18"
"firstName19@email.com","username19"
"firstName20@email.com","username20"
